,match_id,total,date,year,gender,domain,title
177,24491,"Fenwick 1687, Franklin 1372",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
178,22714,"Badin 2297, Purcell Marian 1798",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
179,22701,"Chaminade-Julienne 1918, Alter 1668",2009-01-08,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
180,24271,"Walnut Hills 1728, St. Ursula 1712",2009-01-12,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
181,22757,"McAuley 2648, Mercy 2614",2009-01-12,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
182,22786,"Colerain 2205, Roger Bacon 2021",2009-01-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
183,22740,"Chaminade-Julienne 1708, Purcell Marian 1433",2009-01-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
184,22702,"McNicholas 1520, Alter 1507",2009-01-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
185,22798,"Ursuline 1817, St. Ursula 1784",2009-01-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
186,22778,"Seton 2340, Mount Notre Dame 2216",2009-01-13,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
187,23218,"Seton 2402, Western Hills 1712",2009-01-14,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
188,22703,"Carroll 2401, Alter 1755",2009-01-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
189,22758,"McAuley 2067, St. Ursula 1743",2009-01-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
190,22796,"Seton 2564, Ursuline 1817",2009-01-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
191,27513,"Mount Notre Dame 2180, Mason 1942",2009-01-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
192,22781,"Roger Bacon 1849, Purcell Marian 1832",2009-01-15,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
193,23663,"Mercy 2094, Mercy of Louisville 1938",2009-01-17,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
194,24670,Mercy at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
195,24676,Ursuline at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
196,24664,Badin at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
197,24671,Mount Notre Dame at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
198,24675,St. Ursula at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
199,24663,Alter at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
200,24674,Seton at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
201,24672,Purcell Marian at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
202,24665,Carroll at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
203,24668,McAuley at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
204,24667,Fenwick at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
205,24666,Chaminade-Julienne at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
206,24673,Roger Bacon at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
207,24669,McNicholas at GGCL Tournament ,2009-01-19,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
208,24894,"Mercy 2379, Mount Notre Dame 2145",2009-01-20,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
209,23219,"Seton 2514, Colerain 1811",2009-01-20,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
210,22716,"Carroll 2396, Badin 2278",2009-01-20,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
211,23198,"Walnut Hills 1747, Purcell Marian 1718",2009-01-20,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
212,22749,"Roger Bacon 1708, Fenwick 1626",2009-01-20,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
213,23810,"Mercy 2114, St. Ursula 1789",2009-01-21,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
214,22743,"Chaminade-Julienne 2148, Monroe 1946",2009-01-21,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
215,23178,"Springboro 1976, Alter 1613",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
216,22717,"Badin 2314, McNicholas 1813",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
217,22788,"Princeton 2083, Roger Bacon 1668",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
218,23191,"McAuley 2664, Fairfield 2407",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
219,23220,"Oak Hills 2266, Seton 2213",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
220,24977,"Ursuline 1828, Withrow 1578",2009-01-22,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
221,24549,"Seton 2137, Ursuline 1809",2009-01-26,2008-2009,215,http://ggcl.gclsports.com/,Girls Greater Catholic League
