,zip_code,median_income
10955,43828,49747
10959,43125,49757
11033,45395,32102
11036,43385,32118
11042,44186,32211
11072,45920,17101
11140,45795,49835
11144,45313,17801
11168,43929,17035
11217,44167,87412
11218,43620,87514
11231,44310,2895
11262,45893,88232
11294,44833,88317
11350,44531,59524
11358,44643,59452
11365,43696,85638
11416,44583,48445
11440,45073,35951
11448,44514,35058
11472,44337,37692
11547,43104,75401
11563,45988,95318
11565,43313,95327
11596,44286,41166
11607,43967,66439
11637,43000,43317
11698,45629,23223
11715,45833,50008
11731,45601,44420
11735,44083,44611
11736,45711,44613
11752,43159,44114
11756,43571,57270
11809,44271,38224
11810,44489,38240
11811,44135,38253
11838,45331,4736
11845,44375,4851
11906,45541,48469
11909,45233,48612
11999,44329,19135
12021,44758,19122
12057,45337,87024
12071,45233,24343
12094,43698,38468
12184,44839,90059
12209,45577,49271
12224,43047,49934
12229,45511,49056
12252,45387,49224
12284,43618,67047
12348,44583,58549
12386,45527,11355
12407,45972,98531
12474,43828,12092
12483,44248,12210
12524,45750,28519
12526,43478,28528
12557,44616,28462
12586,45278,4630
12596,43936,29617
12611,45192,29101
12613,43701,29940
12629,45121,28366
12636,44762,68816
12657,44583,68380
12698,45625,38759
12700,43198,38843
12703,43681,38864
12737,45486,1841
12779,45341,15821
12787,44531,59736
12800,45395,59829
12808,45417,59640
12809,43333,59082
12850,44688,48731
12852,44875,48762
12861,43750,82430
12866,44028,57523
12901,43528,37185
12922,44031,76821
12942,43521,76705
12958,44773,62827
12962,45469,62979
12963,44934,62999
12971,45500,62967
12972,45357,62340
13007,43839,45414
13026,45991,90023
13053,44616,90011
13056,44727,12998
13072,44200,43612
13074,45445,77088
13078,44379,77327
13079,45352,77334
13087,44284,65453
13093,43203,65601
13099,44464,64473
13115,45523,64756
13216,45716,15045
13230,45900,15631
13263,43488,23301
13297,43021,78343
13313,45455,59874
13336,45781,59523
13339,44896,59529
13400,45704,45420
13441,43958,92113
13489,45234,63532
13540,44141,45680
13543,43167,37810
13551,45156,38367
13557,43636,38579
13563,43083,38659
13570,43139,38841
13571,45915,38847
13574,45083,46327
13613,44191,24589
13616,43958,97820
13617,45488,97830
13632,45893,97419
13649,44012,97540
13650,45392,97601
13666,43750,4922
13667,45429,4930
13685,43125,4747
13688,43410,4769
13696,44609,4330
13702,43816,4479
13727,44299,5819
13758,45417,24210
13763,45565,24251
13765,43977,24422
13768,43884,24148
13774,44875,49026
13787,43293,24631
13794,43066,24901
13824,44375,24220
13866,45663,12832
13869,45913,12853
13906,45446,46805
13955,43750,36262
13962,44609,36037
13970,44554,36866
13993,44426,85736
14016,44816,53805
14051,45232,53225
14066,44350,29333
14116,43438,68871
14190,43133,43725
14194,44167,43777
14197,44156,43787
14228,44236,41810
14233,43158,15472
14244,45347,45341
14255,44663,45439
14291,45429,47714
14345,45114,57520
14346,44272,57533
14365,45517,29856
14369,43000,29929
14413,43077,71937
14421,43264,71763
14433,44952,26582
14451,45357,49644
14453,45625,49668
14472,43661,45032
14490,44505,32064
14498,43876,32305
14503,45650,32435
14576,44154,64865
14577,45893,64639
14611,43327,80631
14646,45488,24740
14659,45427,24141
14660,43750,24161
14667,45341,24120
14673,43421,73005
14679,44883,23324
14688,45455,15927
14691,43618,15949
14712,43162,81123
14715,45363,81143
14730,45877,81082
14740,44080,81144
14742,44271,81326
14791,43092,74561
14793,43590,74631
14806,44507,59201
14875,44659,31091
14878,43782,31787
14879,45078,31054
14886,44306,31309
14892,45966,31907
14916,44853,24328
14927,45500,68760
15014,44937,72013
15030,45121,83204
15101,45248,95825
15121,44583,38387
15131,45357,38345
15133,45313,38368
15149,44345,25067
15197,45942,66502
15219,44500,66770
15224,44909,66010
15250,44196,24966
15280,43056,24944
15302,43355,38452
15316,43411,24293
15321,45220,25110
15322,44126,25143
15327,45375,25266
15338,43071,25901
15382,44688,12852
15435,45000,14061
15458,43929,14720
15487,44771,29162
15488,43543,29169
15542,44167,53934
15559,44167,65788
15566,43542,65061
15568,44167,65081
15581,45694,65663
15623,45000,88116
15638,45549,1031
15693,43333,51060
15695,43690,68108
15718,43271,41008
15722,43846,41360
15786,45982,15955
15827,44653,14536
15874,45813,97531
15920,45641,75803
15928,44700,63438
15930,44069,63445
15931,45625,63460
15977,43500,39744
15978,45962,39752
15985,44318,39476
15991,45897,78358
15993,43930,32822
16016,45893,44825
16032,43015,44041
16037,45425,44111
16066,44000,47528
16185,45375,23897
16239,45694,72584
16283,45000,74471
16332,45015,34269
16356,45875,89018
16366,45972,56433
16370,45978,56482
16381,45938,56663
16398,45046,47879
16419,45417,47129
16464,43917,57066
16487,43247,40209
16489,45750,40311
16498,43326,40484
16512,43333,48766
16545,43313,48647
16547,43894,48091
16570,45677,29683
16602,44000,86035
16622,44116,85645
16653,44911,38390
16694,45500,55713
16733,44028,69169
16736,43242,85348
16742,44226,80420
16773,44375,56032
16795,44773,38555
16800,45263,38568
16801,45976,38583
16802,44000,38588
16811,43789,38633
16821,45714,38914
16824,44324,38940
16848,45061,26301
16852,44063,26421
16853,45064,26444
16863,45100,26764
16893,44934,55719
16919,44211,85625
16934,43769,85643
16970,44583,65338
16979,45693,65079
16996,43393,65348
17020,45364,65536
17051,44464,14726
17058,44231,14805
17084,44134,65401
17090,45455,65555
17094,45521,33756
17118,45996,33162
17125,44042,33407
17185,44744,45121
17197,45759,68310
17233,45066,33907
17244,43951,33614
17247,45276,33709
17285,44375,80477
17290,44808,80438
17297,44671,73844
17308,45179,15753
17401,45238,97622
17402,45703,97623
17412,43417,76649
17432,44587,63857
17450,44342,5301
17498,43932,95501
17529,45385,28020
17531,44044,28072
17542,45646,44035
17562,45822,17034
17652,43571,49862
17675,45500,59522
17690,44167,59074
17696,43333,59351
17709,44451,13674
17714,44655,13751
17788,43510,15461
17799,43125,67352
17813,43125,67510
17817,43068,67548
17922,43534,50579
17934,44120,42765
17943,44219,42265
17948,44500,42374
17972,44574,42217
17976,43611,30452
17992,43961,56474
18030,44911,59868
18037,43241,59725
18042,44286,59464
18049,45987,77048
18063,43393,77482
18066,44929,77506
18070,44632,77533
18090,45763,77087
18091,44248,77092
18095,45000,77470
18101,43341,77547
18120,44159,45764
18156,43333,83549
18159,44105,83805
18217,44766,69331
18219,43563,69026
