,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
7661, Lakota West 2274,2014-02-07,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,71315, Lakota West,2274
7662,Hamilton Badin 2228,2014-02-07,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66803,Hamilton Badin,2228
7663, Lakota East 649,2014-02-07,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66803, Lakota Eas, 649
7664,Oak Hills 2964,2014-02-10,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,71593,Oak Hills,2964
7665, Lakota West 2544,2014-02-10,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,71593, Lakota West,2544
7666,Fairfield 2973,2014-02-10,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66767,Fairfield,2973
7667, Harrison 2328,2014-02-10,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66767, Harrison,2328
7668,Middletown 2634,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,70846,Middletown,2634
7669, Colerain 2558,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,70846, Colerain,2558
7670,Hamilton 1938,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66787,Hamilton,1938
7671, Amelia 1888,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66787, Amelia,1888
7672,Lakota East 2548,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66808,Lakota East,2548
7673, Walnut Hills 1136,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66808, Walnut Hills,1136
7674,Sycamore 2710,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66243,Sycamore,2710
7675, Milford 2657,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66243, Milford,2657
7676,Mason 2710,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66743,Mason,2710
7677, Kings 2656,2014-02-11,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66743, Kings,2656
7678,Hamilton 2253,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66783,Hamilton,2253
7679, Turpin 2101,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66783, Turpin,2101
7680,Princeton 2663,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,67071,Princeton,2663
7681, St. Xavier (White) 2483,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,67071, St. Xavier (White),2483
7682,Oak Hills 2996,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,71743,Oak Hills,2996
7683, Sycamore 2818,2014-02-12,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,71743, Sycamore,2818
7684,Middletown 2796,2014-02-13,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66197,Middletown,2796
7685, Lakota West 2681,2014-02-13,2013-2014,137,https://gmcsports.com/,Greater Miami Conference,66197, Lakota West,2681
7686,Lakota East 1855,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80162,Lakota East,1855
7687, Sycamore 1812,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80162, Sycamore,1812
7688,Middletown 2582,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78559,Middletown,2582
7689, Fairfield 2413,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78559, Fairfield,2413
7690,Hamilton 2471,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80190,Hamilton,2471
7691, Princeton 2433,2014-11-25,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80190, Princeton,2433
7692,Middletown 2634,2014-12-01,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78560,Middletown,2634
7693, Colerain 2544,2014-12-01,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78560, Colerain,2544
7694,Norwood 2377,2014-12-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80163,Norwood,2377
7695, Lakota East 1743,2014-12-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80163, Lakota East,1743
7696,Oak Hills 2773,2014-12-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80133,Oak Hills,2773
7697, Hamilton 2348,2014-12-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80133, Hamilton,2348
7698,Elder 2886,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79497,Elder,2886
7699, Mason 2515,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79497, Mason,2515
7700,Fairfield 2831,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79953,Fairfield,2831
7701, Princeton 2547,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79953, Princeton,2547
7702,Hamilton 2225,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80193,Hamilton,2225
7703, Ross 1971,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80193, Ross,1971
7704,Lakota East 1781,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78146,Lakota East,1781
7705, Lakota West 1689,2014-12-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78146, Lakota West,1689
7706,Cincinnati Christian 2233,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78147,Cincinnati Christian,2233
7707, Lakota West 1849,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78147, Lakota West,1849
7708,Middletown 3008,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78561,Middletown,3008
7709, Northmont 2922,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78561, Northmont,2922
7710,Oak Hills 2781,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80150,Oak Hills,2781
7711, Mason 2522,2014-12-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80150, Mason,2522
7712,Colerain 2733,2014-12-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79997,Colerain,2733
7713, Deer Park 2158,2014-12-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79997, Deer Park,2158
7714,Hamilton 2669,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80203,Hamilton,2669
7715, Sycamore 1878,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80203, Sycamore,1878
7716,Mason 2519,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79499,Mason,2519
7717, Lebanon 2356,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79499, Lebanon,2356
7718,Colerain 2730,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79999,Colerain,2730
7719, Lakota East 1850,2014-12-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79999, Lakota East,1850
7720,Mason 2551,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78148,Mason,2551
7721, Lakota West 1889,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78148, Lakota West,1889
7722,Oak Hills 2935,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79955,Oak Hills,2935
7723, Fairfield 2754,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79955, Fairfield,2754
7724,Hamilton 2349,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80204,Hamilton,2349
7725, Monroe 1991,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80204, Monroe,1991
7726,Middletown 2861,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78562,Middletown,2861
7727, Princeton 2798,2014-12-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78562, Princeton,2798
7728,Monroe 1959,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78731,Monroe,1959
7729, Lakota West 1675,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78731, Lakota West,1675
7730,Kings 2293,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80164,Kings,2293
7731, Lakota East 1896,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80164, Lakota East,1896
7732,Fairfield 2828,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79956,Fairfield,2828
7733, Elder 2747,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79956, Elder,2747
7734,Colerain 2750,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80000,Colerain,2750
7735, Ross 1514,2014-12-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80000, Ross,1514
7736,Colerain 2711,2014-12-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78149,Colerain,2711
7737, Lakota West 1820,2014-12-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78149, Lakota West,1820
7738,Badin 2529,2014-12-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78150,Badin,2529
7739, Lakota West 1911,2014-12-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78150, Lakota West,1911
7740,Colerain 2726,2014-12-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79501,Colerain,2726
7741, Mason 2631,2014-12-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79501, Mason,2631
7742,Princeton 2384,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80661,Princeton,2384
7743, Turpin 2149,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80661, Turpin,2149
7744,Middletown 2686,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78564,Middletown,2686
7745, Miamisburg 2506,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78564, Miamisburg,2506
7746,Oak Hills 2811,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80135,Oak Hills,2811
7747, Harrison 2080,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80135, Harrison,2080
7748,Hamilton 2281,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80205,Hamilton,2281
7749, Winton Woods 1717,2014-12-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80205, Winton Woods,1717
7750,Hamilton 2470,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80206,Hamilton,2470
7751, Reading 2399,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80206, Reading,2399
7752,Colerain 2846,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80001,Colerain,2846
7753, Mt. Healthy 2287,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80001, Mt. Healthy,2287
7754,Fairfield 2690,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79958,Fairfield,2690
7755, Sycamore 2118,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79958, Sycamore,2118
7756,Middletown 2476,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78565,Middletown,2476
7757, Lakota East 1699,2014-12-17,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78565, Lakota East,1699
7758,Hamilton 2468,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78152,Hamilton,2468
7759, Lakota West 1644,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78152, Lakota West,1644
7760,Oak Hills 3000,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80136,Oak Hills,3000
7761, Princeton 2925,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80136, Princeton,2925
7762,Middletown 2895,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78566,Middletown,2895
7763, Monroe 1964,2014-12-18,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78566, Monroe,1964
7764,Mason 2460,2015-01-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79503,Mason,2460
7765, reading 2263,2015-01-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79503, reading,2263
7766,Colerain 2772,2015-01-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80003,Colerain,2772
7767, Hamilton 2303,2015-01-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80003, Hamilton,2303
7768,Princeton 2524,2015-01-06,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80663,Princeton,2524
7769, Winton Woods 2076,2015-01-06,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80663, Winton Woods,2076
7770,Oak Hills 3068,2015-01-06,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80151,Oak Hills,3068
7771, Northwest 2503,2015-01-06,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80151, Northwest,2503
7772,Mason 2565,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79504,Mason,2565
7773, Lakota East 1918,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79504, Lakota East,1918
7774,Princeton 2645,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80664,Princeton,2645
7775, Sycamore 2005,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80664, Sycamore,2005
7776,Taylor 2167,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78154,Taylor,2167
7777, Lakota West 1740,2015-01-07,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78154, Lakota West,1740
7778,Middletown 3095,2015-01-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78568,Middletown,3095
7779, Oak Hills 3001,2015-01-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78568, Oak Hills,3001
7780,Fairfield 2635,2015-01-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79959,Fairfield,2635
7781, St. Xavier 2305,2015-01-08,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79959, St. Xavier,2305
7782,Middletown 2967,2015-01-12,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78569,Middletown,2967
7783, Mason 2641,2015-01-12,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78569, Mason,2641
7784,Lasalle 2732,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79505,Lasalle,2732
7785, Mason 2674,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79505, Mason,2674
7786,Winton Woods 1657,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78155,Winton Woods,1657
7787, Lakota West 1585,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78155, Lakota West,1585
7788,Hamilton 2659,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80209,Hamilton,2659
7789, Lakota East 1873,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80209, Lakota East,1873
7790,Middletown 2666,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78570,Middletown,2666
7791, St. X 2239,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78570, St. X,2239
7792,Oak Hills 2905,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82944,Oak Hills,2905
7793, Sycamore 2006,2015-01-13,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82944, Sycamore,2006
7794,Reading 2540,2015-01-14,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83731,Reading,2540
7795, Lakota East 1789,2015-01-14,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83731, Lakota East,1789
7796,Fairfield 3013,2015-01-14,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79962,Fairfield,3013
7797, Colerain 2689,2015-01-14,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79962, Colerain,2689
7798,Princeton 2480,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78156,Princeton,2480
7799, Lakota West 1604,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78156, Lakota West,1604
7800,Turpin 2376,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83383,Turpin,2376
7801, Sycamore 2006,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83383, Sycamore,2006
7802,Oak Hills 2862,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80142,Oak Hills,2862
7803, St. Xavier 2832,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80142, St. Xavier,2832
7804,Fairfield 2746,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79975,Fairfield,2746
7805, Northwest 2693,2015-01-15,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79975, Northwest,2693
7806,Franklin 2964,2015-01-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80210,Franklin,2964
7807, Hamilton 2696,2015-01-16,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80210, Hamilton,2696
7808,Deer Park 1998,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83446,Deer Park,1998
7809, Lakota East 1753,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83446, Lakota East,1753
7810,Reading 2228,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78157,Reading,2228
7811, Lakota West 1724,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78157, Lakota West,1724
7812,Mason 2799,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79508,Mason,2799
7813, Loveland 2112,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79508, Loveland,2112
7814,Milford 2246,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83381,Milford,2246
7815, Sycamore 2240,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83381, Sycamore,2240
7816,Oak Hills 2861,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80145,Oak Hills,2861
7817, Moeller 2621,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80145, Moeller,2621
7818,Hamilton 2691,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80211,Hamilton,2691
7819, Cincinnati Christian 1949,2015-01-20,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80211, Cincinnati Christian,1949
7820,Fairfield 2599,2015-01-21,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79976,Fairfield,2599
7821, Lakota East 1927,2015-01-21,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79976, Lakota East,1927
7822,Colerain 2744,2015-01-21,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80006,Colerain,2744
7823, Princeton 2498,2015-01-21,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80006, Princeton,2498
7824,Mason 2560,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83451,Mason,2560
7825, Turpin 2273,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83451, Turpin,2273
7826,Oak Hills 2727,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80152,Oak Hills,2727
7827, Lakota West 1838,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80152, Lakota West,1838
7828,Hamilton 2820,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80212,Hamilton,2820
7829, Elder 2211,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80212, Elder,2211
7830,Middletown 2683,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82322,Middletown,2683
7831, Sycamore 1935,2015-01-22,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82322, Sycamore,1935
7832,Mason 2741,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79509,Mason,2741
7833, Hamilton 2540,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79509, Hamilton,2540
7834,Colerain 2728,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80007,Colerain,2728
7835, Lasalle 2576,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80007, Lasalle,2576
7836,Franklin 3008,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78571,Franklin,3008
7837, Middletown 2895,2015-01-23,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78571, Middletown,2895
7838,Mason 2809,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79510,Mason,2809
7839, Clinton-Massie 2586,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79510, Clinton-Massie,2586
7840,Wyoming 2151,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83730,Wyoming,2151
7841, Lakota East 1986,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83730, Lakota East,1986
7842,Hamilton 2679,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80207,Hamilton,2679
7843, St. Xavier 2545,2015-01-26,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80207, St. Xavier,2545
7844,Fairfield 2752,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78153,Fairfield,2752
7845, Lakota West 1903,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78153, Lakota West,1903
7846,Oak Hills 2828,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82945,Oak Hills,2828
7847, Taylor 2204,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,82945, Taylor,2204
7848,Harrison 2472,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83384,Harrison,2472
7849, Sycamore 2085,2015-01-27,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83384, Sycamore,2085
7850,Fairfield 2984,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79511,Fairfield,2984
7851, Mason 2630,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79511, Mason,2630
7852,Edgewood 2158,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83702,Edgewood,2158
7853, Lakota East 2086,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83702, Lakota East,2086
7854,Sycamore 1934,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78160,Sycamore,1934
7855, Lakota West 1844,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78160, Lakota West,1844
7856,Middletown 2769,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78572,Middletown,2769
7857, Hamilton 2381,2015-01-28,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78572, Hamilton,2381
7858,Princeton 2959,2015-01-29,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83431,Princeton,2959
7859, Lakota East 1969,2015-01-29,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83431, Lakota East,1969
7860,Oak Hills 2873,2015-01-29,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80008,Oak Hills,2873
7861, Colerain 2840,2015-01-29,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80008, Colerain,2840
7862,Fairfield 2925,2015-01-30,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79977,Fairfield,2925
7863, Franklin 2641,2015-01-30,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79977, Franklin,2641
7864,Mason 2579,2015-01-30,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79512,Mason,2579
7865, St X 2437,2015-01-30,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79512, St X,2437
7866,Princeton 2819,2015-02-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79514,Princeton,2819
7867, Mason 2764,2015-02-02,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79514, Mason,2764
7868,Northwest 2652,2015-02-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81380,Northwest,2652
7869, Lakota West 1693,2015-02-03,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81380, Lakota West,1693
7870,Fairfield 2773,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79978,Fairfield,2773
7871, Hamilton 2393,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79978, Hamilton,2393
7872,Middletown 2898,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78573,Middletown,2898
7873, Lakota West 1815,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,78573, Lakota West,1815
7874,Oak Hills 2668,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80147,Oak Hills,2668
7875, Lakota East 1925,2015-02-04,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80147, Lakota East,1925
7876,Fairfield 2864,2015-02-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79979,Fairfield,2864
7877, Edgewood 2427,2015-02-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79979, Edgewood,2427
7878,Oak Hills 3125,2015-02-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80148,Oak Hills,3125
7879, Norwood 2062,2015-02-05,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80148, Norwood,2062
7880,Mason 2722,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81348,Mason,2722
7881, Sycamore 2040,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81348, Sycamore,2040
7882,Princeton 2704,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83430,Princeton,2704
7883, Northwest 2627,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83430, Northwest,2627
7884,Roger Bacon 2810,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80010,Roger Bacon,2810
7885, Colerain 2604,2015-02-09,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80010, Colerain,2604
7886,Northwest 2553,2015-02-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80213,Northwest,2553
7887, Hamilton 2437,2015-02-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,80213, Hamilton,2437
7888,Fairfield 2629,2015-02-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79980,Fairfield,2629
7889, Harrison 2572,2015-02-10,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79980, Harrison,2572
7890,Mason 2731,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79515,Mason,2731
7891, fenwick 1909,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,79515, fenwick,1909
7892,Cincinnati Christian 2265,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83685,Cincinnati Christian,2265
7893, Lakota East 2046,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,83685, Lakota East,2046
7894,DeerPark 2541,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81299,DeerPark,2541
7895, Lakota West 1705,2015-02-11,2014-2015,137,https://gmcsports.com/,Greater Miami Conference,81299, Lakota West,1705
